University Name,Country,City,QS Ranking 2025,Public or Private,Tuition Fees (International),Application Fee,IELTS Requirement,TOEFL Requirement,Duolingo Requirement,Minimum GPA,Admission Deadline,Programs Available,Scholarship Available,Scholarship Details,Intake Seasons,Application Link,Official Website,Campus Image URL 1,Campus Image URL 2,Campus Image URL 3,University Logo URL,Notes
Université PSL (Paris Sciences et Lettres),France,Paris,63,Public,€170/year (EU); €2770–€6500/year (non-EU Int'l),€40–€80,"6.5 (most English PG)","90+ iBT",,3.0+,Jan–April (UG); Nov–April (PG),"Arts & Humanities, Biology, Chemistry, Computer Science, Cultural Heritage, Economics, Engineering, Mathematics, Natural Sciences, Philosophy, Physics, Social Sciences",Yes,"Erasmus+ Grants; French Government Scholarship (Eiffel); Ile-de-France Regional Scholarships; FSDIE Aid",Fall (Sep),https://www.psl.eu/en/education/admission,https://www.psl.eu,https://www.psl.eu/sites/default/files/inline-images/campus-main.jpg,https://www.psl.eu/sites/default/files/inline-images/ecole-normale.jpg,https://www.psl.eu/sites/default/files/inline-images/mines-paris.jpg,https://www.psl.eu/sites/default/files/inline-images/psl-logo.png,"Federation of elite grandes écoles and universities; many programs in French; Eiffel Scholarship for Int'l students"
University of Auckland,New Zealand,Auckland,87,Public,NZD 30000–46000/year (UG Int'l); NZD 28000–40000/year (PG Int'l),NZD 80,"6.0–7.0","90+ iBT",,3.0+,Sep–Oct (UG Sem 1 Mar); Feb–April (Sem 2 Jul); rolling (PG),"Architecture, Arts, Business (MBA), Computer Science, Creative Arts, Education, Engineering, Health Sciences, Law, Medicine, Natural Sciences, Science, Social Sciences",Yes,"University of Auckland International Student Excellence Scholarship; Faculty Scholarships; Research Masters Scholarships",Semester 1 (Mar); Semester 2 (Jul),https://www.auckland.ac.nz/en/study/admission.html,https://www.auckland.ac.nz,https://www.auckland.ac.nz/content/dam/uoa/auckland/about/campus-life/campus-aerial.jpg,https://www.auckland.ac.nz/content/dam/uoa/auckland/about/campus-life/clock-tower.jpg,https://www.auckland.ac.nz/content/dam/uoa/auckland/about/campus-life/library-kate-edgar.jpg,https://www.auckland.ac.nz/content/dam/uoa/auckland/about/university/uoa-logo-2015.png,"New Zealand's largest university; GMAT for MBA; strong business and engineering programs; post-study work visa available"
University of São Paulo (USP),Brazil,São Paulo,108,Public,BRL 0 (free for Brazilian nationals); variable for Int'l,None (free),"6.0 (some Int'l programs)","79+ iBT (some programs)",,3.0+,October–December (UG via FUVEST); varies (PG),"Agronomy, Architecture, Arts, Biology, Business, Chemistry, Computer Science, Dentistry, Economics, Engineering, Forestry, Law, Medicine, Music, Natural Sciences, Nursing, Philosophy, Physics",Yes,"FAPESP Research Scholarships; CAPES Scholarships; CNPq Scholarships; USP Scholarships for Int'l students",Varies (UG Feb; PG Feb & Aug),https://www.usp.br/site/?page_id=39,https://www.usp.br,https://www5.usp.br/wp-content/uploads/Fachada_campus_USP_BW.jpg,https://www5.usp.br/wp-content/uploads/biblioteca-central.jpg,https://www5.usp.br/wp-content/uploads/reitoria_usp.jpg,https://www5.usp.br/wp-content/uploads/logo-usp.png,"Most UG programs in Portuguese; some English-medium PG programs; Brazil's top research university"
University of Queensland (UQ),Australia,Brisbane,53,Public,AUD 38000–50000/year (UG Int'l); AUD 25000–46000/year (PG Int'l),AUD 100,"6.5 min; 7.0 for some","87 iBT min",,3.0+,Sep–Nov (UG Sem 1); April (Sem 2); rolling (PG),"Agriculture, Architecture, Arts, Business, Computer Science, Education, Engineering, Health Sciences, Law, Medicine, Music, Natural Sciences, Pharmacy, Psychology, Social Sciences, Veterinary Science",Yes,"UQ International Scholarship; UQ Excellence Award; Graduate Research Scholarships (stipend)",Semester 1 (Feb); Semester 2 (Jul),https://study.uq.edu.au/admissions,https://www.uq.edu.au,https://www.uq.edu.au/sites/default/files/styles/hero/public/2020/campus-aerial.jpg,https://www.uq.edu.au/sites/default/files/styles/hero/public/2020/great-court.jpg,https://www.uq.edu.au/sites/default/files/styles/hero/public/2020/main-library.jpg,https://www.uq.edu.au/sites/default/files/styles/hero/public/2021/uq-logo.png,"Go8 member; GMAT for MBA; strong biological and environmental sciences; multiple campuses"
Osaka University,Japan,Osaka,68,Public,JPY 535800/year (~USD 3600/year),JPY 30000 (admissions fee),"6.0+","79+ iBT",,3.0+,December–February; varies by program,"Engineering, Human Sciences, Language & Culture, Law, Letters, Medicine, Natural Sciences, Pharmaceutical Sciences, Science",Yes,"MEXT Scholarship; JASSO Scholarship; Osaka University Scholarship; Monbukagakusho Scholarship",Spring (Apr); Fall (Oct; some programs),https://www.osaka-u.ac.jp/en/education/admissions,https://www.osaka-u.ac.jp,https://www.osaka-u.ac.jp/ja/news/topics/2019/05/campusphoto/img01.jpg,https://www.osaka-u.ac.jp/ja/news/topics/2019/05/campusphoto/img02.jpg,https://www.osaka-u.ac.jp/ja/news/topics//2019/campus-main.jpg,https://www.osaka-u.ac.jp/en/shared/img/osaka-u-logo.gif,"Japanese required for most UG; English PG programs available; low tuition for international"
University of Sydney,Australia,Sydney,32,Public,AUD 40000–60000/year (UG Int'l),AUD 100,"6.5–7.0","85–100 iBT",,3.0+,Sep–Nov (UG Sem 1); April (Sem 2),"Arts, Business, Computer Science, Dentistry, Education, Engineering, Law, Medicine, Music, Natural Sciences, Nursing, Pharmacy, Science, Social Sciences",Yes,"International Scholarship; Postgraduate Research Scholarship; Vice-Chancellor's Scholarship",Semester 1 (Feb); Semester 2 (Jul),https://sydney.edu.au/study/how-to-apply.html,https://www.sydney.edu.au,https://www.sydney.edu.au/content/dam/corporate/images/about/rankings/campus-main-quad.jpg,https://www.sydney.edu.au/content/dam/corporate/images/about/campus/quadrangle.jpg,https://www.sydney.edu.au/content/dam/corporate/images/about/campus/quad-autumn.jpg,https://www.sydney.edu.au/content/dam/corporate/images/logos/usyd-logo.png,"PTE accepted; GMAT for MBA; Go8 member; strong medicine and law"
Brown University,USA,Providence (RI),57,Private,"USD 65146/year (UG tuition); ~USD 85000/year (total CoA)",USD 75,"7.0+","100+ iBT",,3.7+,Nov 1 (ED); Jan 5 (RD); Dec–Feb (PG),"Computational Biology, Computer Science, Economics, Engineering, Humanities, International Relations, Neuroscience, Physics, Public Health, Social Sciences",Yes,"Need-based financial aid; Brown University Scholarship; Sheridan Scholar; graduate fellowships",Fall,https://admission.brown.edu,https://www.brown.edu,https://www.brown.edu/about/sites/about/files/campus-aerial.jpg,https://www.brown.edu/about/sites/about/files/sci-library.jpg,https://www.brown.edu/about/sites/about/files/college-green.jpg,https://www.brown.edu/sites/default/files/brown-logo.png,"Open Curriculum (no core requirements); SAT/ACT required; ED binding; strong creative culture"
Dartmouth College,USA,Hanover (NH),58,Private,"USD 62658/year (UG tuition); ~USD 84000/year (total CoA)",USD 80,"7.0+","100+ iBT",,3.7+,Nov 1 (ED); Jan 3 (RD); various (PG),"Arts & Sciences, Business (Tuck MBA), Computer Science, Economics, Engineering, Medicine, Natural Sciences, Social Sciences",Yes,"Need-based financial aid; Dartmouth Scholarship; Tuck Business Bridge scholarship; graduate fellowships",Fall,https://admissions.dartmouth.edu,https://www.dartmouth.edu,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Dartmouth_College_campus_2007-06-23_Baker_Memorial_Library_02.JPG/1280px-Dartmouth_College_campus_2007-06-23_Baker_Memorial_Library_02.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Dartmouth_College_campus_2007-10-20_10.JPG/1280px-Dartmouth_College_campus_2007-10-20_10.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Dartmouth_Hall_-_Dartmouth_College_-_DSC01608.jpg/1280px-Dartmouth_Hall_-_Dartmouth_College_-_DSC01608.jpg,https://home.dartmouth.edu/sites/default/files/2021-07/dartmouth-logo.png,"Ivy League; D-plan quarter system; small college feel; Tuck MBA highly ranked; GMAT required for Tuck"
Vanderbilt University,USA,Nashville (TN),301–350,Private,"USD 60348/year (UG tuition); ~USD 82000/year (total CoA)",USD 50,"7.0+","100+ iBT",,3.5+,Nov 1 (ED/EA); Jan 1 (RD); varies (PG),"Education & Human Development, Engineering, Fine Arts, Graduate School of Arts & Science, Law, Management (Owen MBA), Medicine, Natural Sciences, Nursing, Peabody College, Social Sciences",Yes,"Ingram Scholars; Cornelius Vanderbilt Scholarship (merit-based full scholarship); need-based financial aid",Fall,https://admissions.vanderbilt.edu,https://www.vanderbilt.edu,https://www.vanderbilt.edu/about/images/campus-aerial.jpg,https://www.vanderbilt.edu/about/images/library.jpg,https://www.vanderbilt.edu/about/images/kirkland-hall.jpg,https://www.vanderbilt.edu/about/images/vanderbilt-logo.png,"Merit and need-based aid; strong medical school; GMAT for Owen MBA; SAT/ACT required"
University of North Carolina Chapel Hill,USA,Chapel Hill (NC),97,Public,"USD 7693/year (NC resident UG); USD 36699/year (non-resident UG); varies PG",USD 80 (UG); USD 85 (PG),"7.0+","90+ iBT",,3.0,Jan 15 (UG RD); Nov 1 (EA); Dec–Feb (PG),"Arts & Sciences, Business (Kenan-Flagler MBA), Computer Science, Dentistry, Education, Environment, Journalism, Law, Medicine, Natural Sciences, Nursing, Pharmacy, Public Health, Social Work",Yes,"Carolina Covenant (need-based); Morehead-Cain Scholarship; UNC Merit Scholarships; graduate fellowships",Fall,https://admissions.unc.edu,https://www.unc.edu,https://www.unc.edu/wp-content/uploads/2019/09/campus-aerial.jpg,https://www.unc.edu/wp-content/uploads/2019/09/south-building.jpg,https://www.unc.edu/wp-content/uploads/2019/09/bell-tower.jpg,https://www.unc.edu/wp-content/uploads/2021/09/unc-logo.png,"AAU member; strong journalism and public health programs; GMAT for Kenan-Flagler MBA"
Rice University,USA,Houston (TX),119,Private,"USD 56360/year (UG tuition); ~USD 78000/year (total CoA)",USD 75,"7.0+","102+ iBT",,3.7+,Nov 1 (ED); Jan 4 (RD); Dec–Feb (PG),"Architecture, Business (Jones MBA), Computer Science, Economics, Engineering, Humanities, Music, Natural Sciences, Social Sciences",Yes,"Need-based financial aid; Rice University Scholarship; Trustee Distinguished Scholarship; Jones School fellowships",Fall,https://admission.rice.edu,https://www.rice.edu,https://www.rice.edu/sites/g/files/bxs4821/files/2020-12/campus-aerial.jpg,https://www.rice.edu/sites/g/files/bxs4821/files/2020-12/lovett-hall.jpg,https://www.rice.edu/sites/g/files/bxs4821/files/2020-12/fondren-library.jpg,https://www.rice.edu/sites/g/files/bxs4821/files/2021-09/rice-logo.png,"Very small private research university; very high aid; SAT/ACT required; strong engineering and architecture"
Georgia Institute of Technology (Georgia Tech),USA,Atlanta (GA),83,Public,"USD 12420/year (GA resident UG); USD 33796/year (non-resident UG); varies PG",USD 75,"7.0+","95+ iBT",,3.3,Oct 15 (GA residents EA); Nov 3 (non-GA EA); Jan 5 (RD); Dec–Feb (PG),"Aerospace Engineering, Architecture, Biological Sciences, Business, Chemical Engineering, Computer Science, Electrical Engineering, Industrial Engineering, Mathematics, Materials Science, Mechanical Engineering, Physics",Yes,"President's Scholars Program; Stamps President's Scholarship; GEM Fellowships; graduate assistantships",Fall,https://admission.gatech.edu,https://www.gatech.edu,https://www.gatech.edu/sites/default/files/2020-06/campus-aerial.jpg,https://www.gatech.edu/sites/default/files/2020-06/tech-tower.jpg,https://www.gatech.edu/sites/default/files/2020-06/clough-commons.jpg,https://www.gatech.edu/sites/default/files/2021-09/georgia-tech-logo.png,"Strong public tech university; GRE required for most PG; GMAT for Scheller MBA; large co-op program"
University of Tokyo (graduate programs),Japan,Tokyo,29,Public,JPY 535800/year (~USD 3600/year),JPY 30000,"6.0–6.5","79–86 iBT",,3.0+,October–February (PG varies),"Engineering, Information Science & Technology, Interdisciplinary Studies, International Studies, Law & Politics, Medicine, Pharmaceutical Sciences, Public Policy",Yes,"MEXT Scholarship; UTokyo Scholarship; JSPS fellowship; university international scholarships",Spring (Apr); Fall (Sep),https://www.u-tokyo.ac.jp/en/admissions/graduate/,https://www.u-tokyo.ac.jp,https://www.u-tokyo.ac.jp/content/400115895.jpg,https://www.u-tokyo.ac.jp/content/400115898.jpg,https://www.u-tokyo.ac.jp/content/400115902.jpg,https://www.u-tokyo.ac.jp/content/400053528.gif,"MEXT scholarship highly competitive; English-medium grad programs: GSGC; PEAK for undergrad; very low tuition"
Pennsylvania State University,USA,University Park (PA),125,Public,"USD 18454/year (PA resident UG); USD 38660/year (non-resident UG); varies PG",USD 65 (UG); USD 65 (PG),"6.5+","80+ iBT",,3.0,Nov 1 (EA); Feb 1 (RD); Dec–Feb (PG),"Agriculture, Arts & Architecture, Business (Smeal MBA), Communication Arts & Sciences, Computer Science & Engineering, Education, Engineering, Health & Human Development, Information Sciences, Liberal Arts, Medicine, Natural Sciences, Nursing",Yes,"Penn State University Scholarship; President's Freshman Award; Graduate Fellowships; Schreyer Honors College",Fall,https://admissions.psu.edu,https://www.psu.edu,https://www.psu.edu/img/cgi-bin/news/newsphotos/2020/university-park-campus-aerial.jpg,https://www.psu.edu/img/cgi-bin/news/newsphotos/2020/old-main.jpg,https://www.psu.edu/img/cgi-bin/news/newsphotos/2020/pattee-library.jpg,https://www.psu.edu/cms/images/PSU_HorizFull_RGB.jpg,"Large land-grant university; GRE/GMAT for many PG; strong meteorology and geosciences programs"
University of Arizona,USA,Tucson (AZ),601–650,Public,"USD 12734/year (AZ resident UG); USD 37368/year (non-resident UG); varies PG",USD 50 (UG),"7.0+","79+ iBT",,3.0,Feb 1 (UG); rolling (PG),"Agriculture, Architecture, Business (Eller MBA), Computer Science, Education, Engineering, Fine Arts, Geosciences, Law, Medicine, Natural Sciences, Nursing, Pharmacy, Public Health, Social Sciences",Yes,"National Merit Scholarship; University of Arizona Excellence Scholarships; GPSC Research Grants; graduate assistantships",Fall; Spring (some programs),https://admissions.arizona.edu,https://www.arizona.edu,https://www.arizona.edu/sites/default/files/styles/hero/public/2020/campus-aerial.jpg,https://www.arizona.edu/sites/default/files/styles/hero/public/2020/old-main.jpg,https://www.arizona.edu/sites/default/files/styles/hero/public/2020/main-library.jpg,https://www.arizona.edu/sites/default/files/images/arizona-logo.png,"Steele Children's Research Center; strong astronomy and optical sciences; GMAT for Eller MBA"
KAIST (Korea Advanced Institute of Science and Technology),South Korea,Daejeon,56,Public,KRW 4000000–7000000/year (~USD 3000–5000/year),KRW 60000 (~USD 45),"6.5+","83+ iBT",,3.0+,October–December (PG); March (UG),"Aerospace Engineering, Biological Sciences, Business & Technology Management, Chemistry, Civil Engineering, Computer Science, Electrical Engineering, Industrial Design, Mathematics, Mechanical Engineering, Physics",Yes,"KAIST Scholarship (covers full tuition + stipend for most domestic students); International Scholarships; GIST scholarships; Korean Government Scholarship (KGSP)",Spring (Mar); Fall (Sep),https://www.kaist.ac.kr/en/html/education/01.html,https://www.kaist.ac.kr,https://www.kaist.ac.kr/img/etc/kaist_campus.jpg,https://www.kaist.ac.kr/img/etc/kaist_library.jpg,https://www.kaist.ac.kr/img/etc/kaist_main_building.jpg,https://www.kaist.ac.kr/img/etc/kaist-logo.png,"Very affordable; most PG in English; full scholarship for most domestic PG; research-intensive STEM university"
University of Southampton,UK,Southampton,78,Public,£19400–£28000/year (UG Int'l); £15000–£25000/year (PG Int'l),£75 (PG); UCAS (UG),"6.5 min; 7.0 for some","90+ iBT",,3.0+,Jan 31 (UG UCAS); rolling (PG),"Actuarial Science, Computer Science, Economics, Education, Engineering, Health Sciences, Law, Mathematics, Natural Sciences, Nursing, Oceanography, Social Sciences",Yes,"University of Southampton International Scholarship; Vice-Chancellor's Award; Southampton Doctoral Scholarships",Fall (Sep),https://www.southampton.ac.uk/study/applying,https://www.southampton.ac.uk,https://www.southampton.ac.uk/sites/default/files/images/campus-aerial.jpg,https://www.southampton.ac.uk/sites/default/files/images/library.jpg,https://www.southampton.ac.uk/sites/default/files/images/student-union.jpg,https://www.southampton.ac.uk/sites/default/files/images/southampton-logo.png,"Russell Group member; strong engineering and oceanography; National Oceanography Centre on campus"
University of Auckland,New Zealand,Auckland,87,Public,NZD 30000–46000/year (UG Int'l),NZD 80,"6.0–7.0","90+ iBT",,3.0+,Sep–Oct (UG Sem 1); Feb–April (Sem 2); rolling (PG),"Architecture, Arts, Business, Computer Science, Creative Arts, Education, Engineering, Health Sciences, Law, Medicine, Natural Sciences, Social Sciences",Yes,"UQ International Student Excellence Scholarship; Faculty Scholarships; Research Masters Scholarships",Semester 1 (Mar); Semester 2 (Jul),https://www.auckland.ac.nz/en/study/admission.html,https://www.auckland.ac.nz,https://www.auckland.ac.nz/content/dam/uoa/auckland/about/campus-life/campus-aerial.jpg,https://www.auckland.ac.nz/content/dam/uoa/auckland/about/campus-life/clock-tower.jpg,https://www.auckland.ac.nz/content/dam/uoa/auckland/about/campus-life/library.jpg,https://www.auckland.ac.nz/content/dam/uoa/auckland/about/university/uoa-logo-2015.png,"Post-study work visa 3 years; GMAT for MBA; New Zealand's largest university"
University of Helsinki,Finland,Helsinki,107,Public,€0 (EU/EEA); €10000–€18000/year (non-EU Int'l),€100 (non-EU PG),"6.5 (most English programs)","92+ iBT",,3.0+,Dec–Jan (PG); varies (UG Int'l),"Biological and Environmental Sciences, Computer Science, Economics, Education, Humanities, Law, Mathematics, Medicine, Pharmacy, Social Sciences, Theology",Yes,"University of Helsinki Scholarship Programme (covers tuition + EUR 6000/year living grant); Erasmus+ grants",Fall (Sep),https://www.helsinki.fi/en/admissions,https://www.helsinki.fi,https://www.helsinki.fi/sites/default/files/styles/hero_image_4_3/public/images/2018-10/helsinki_campus.jpg,https://www.helsinki.fi/sites/default/files/styles/hero_image_4_3/public/images/2018-10/main-building.jpg,https://www.helsinki.fi/sites/default/files/styles/hero_image_4_3/public/images/2018-10/library.jpg,https://www.helsinki.fi/sites/default/files/styles/hero_image_4_3/public/images/2018-10/uh-logo.png,"No tuition for EU students; Finnish language required for Finnish-taught programs; strong medicine and natural sciences"
University of Copenhagen,Denmark,Copenhagen,121,Public,DKK 0 (EU/EEA); DKK 74000–150000/year (~USD 10500–22000/year) for non-EU,None (EU); DKK 750 (non-EU),"6.5–7.0","83–100 iBT",,3.0+,March 1 (UG); Dec–Feb (PG),"Biology, Chemistry, Computer Science, Economics, Education, Humanities, Law, Medicine, Natural Sciences, Pharmacy, Political Science, Social Sciences, Theology",Yes,"Danish Government Scholarship; UCPH Scholarship for non-EU Int'l students; Erasmus+ Mobility Grants",Fall (Sep),https://www.ku.dk/english/education/,https://www.ku.dk,https://www.ku.dk/english/news/2019/img/copehagen-university-campus.jpg,https://www.ku.dk/english/news/2019/img/library-exterior.jpg,https://www.ku.dk/english/news/2019/img/main-building.jpg,https://www.ku.dk/english/news/2019/img/ku-logo.png,"Free tuition for EU students; Danish required for most UG; PG mostly in English; strong medicine and natural sciences"
POSTECH (Pohang University of Science and Technology),South Korea,Pohang,100,Public,KRW 5000000/year (~USD 3700/year),KRW 60000,"6.0+","79+ iBT",,3.0+,October–December (PG); March (UG),"Chemical Engineering, Computer Science, Electrical Engineering, Industrial Management Engineering, Life Sciences, Materials Science, Mathematics, Mechanical Engineering, Physics",Yes,"POSTECH Scholarship (full tuition for most students); International Exchange Scholarships; Korean Government Scholarship",Spring (Mar); Fall (Sep),https://postech.ac.kr/eng/admissions/,https://www.postech.ac.kr,https://postech.ac.kr/eng/wp-content/uploads/2020/08/postech-campus.jpg,https://postech.ac.kr/eng/wp-content/uploads/2020/08/postech-library.jpg,https://postech.ac.kr/eng/wp-content/uploads/2020/08/postech-main.jpg,https://postech.ac.kr/eng/wp-content/uploads/2020/08/postech-logo.png,"Small research-only STEM university; nearly all students receive full scholarship; strong physics and chemistry"
University of Zurich,Switzerland,Zurich,109,Public,CHF 1580/semester (~CHF 3160/year; same for all students),CHF 200 (PG),"6.0–7.0 (program-specific)","95+ iBT",,3.0+,November–April (PG varies),"Arts & Humanities, Business, Computer Science, Economics, Health Sciences, Law, Mathematics, Medicine, Natural Sciences, Social Sciences, Theology",Yes,"Swiss Government Excellence Scholarships; University of Zurich Scholarships; UZH Foundation grants",Fall (Sep); Spring (Feb; limited),https://www.uzh.ch/en/studies/application.html,https://www.uzh.ch,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Z%C3%BCrich_-_Universit%C3%A4t_Z%C3%BCrich_IMG_1204.JPG/1280px-Z%C3%BCrich_-_Universit%C3%A4t_Z%C3%BCrich_IMG_1204.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/University_Zurich_Main_Building.JPG/1280px-University_Zurich_Main_Building.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Z%C3%BCrich_-_Uni_Irchel_IMG_2810.JPG/1280px-Z%C3%BCrich_-_Uni_Irchel_IMG_2810.JPG,https://www.uzh.ch/uzh/authoring/images/uzh-logo-e-pos.png,"Most programs in German; PG in English increasingly available; very low tuition; strong medicine and law programs"
Leiden University,Netherlands,Leiden,149,Public,€2314/year (EU); €15000–€22000/year (non-EU Int'l),€50–€75,"6.5–7.0","90+ iBT",,3.0+,April–May (UG); Dec–May (PG),"Archaeology, Arts, Computer Science, Economics, Education, Governance & Global Affairs, Humanities, Law, Medicine, Natural Sciences, Social Sciences",Yes,"Leiden Excellence Scholarship (LExS); Holland Scholarship; Leiden University Scholarship for Int'l students; Erasmus+ grants",Fall (Sep),https://www.universiteitleiden.nl/en/education/study-at-leiden-university/admissions-and-application,https://www.universiteitleiden.nl,https://www.universiteitleiden.nl/binaries/content/gallery/ul2/main-images/leiden-academy-building.jpg,https://www.universiteitleiden.nl/binaries/content/gallery/ul2/main-images/leiden-witte-singel-library.jpg,https://www.universiteitleiden.nl/binaries/content/gallery/ul2/main-images/leiden-university-campus.jpg,https://www.universiteitleiden.nl/binaries/content/gallery/ul2/main-images/leiden-logo.png,"Netherlands' oldest university (est. 1575); many English-medium PG programs; strong law and humanities"
Free University of Berlin (FU Berlin),Germany,Berlin,115,Public,€300/semester (semester admin fee; near-zero tuition for all),None,"6.5–7.0 (English programs)","90+ iBT",,3.0+,December–April (PG; varies by program),"Biology, Chemistry, Computer Science, Earth Sciences, Economics, Education, History, Law, Mathematics, Medicine, Philosophy, Physics, Political Science, Social Sciences, Veterinary Medicine",Yes,"DAAD Scholarship; FU Berlin Scholarship Program; Deutschlandstipendium; Erasmus+ grants",Winter (Oct); Summer (Apr),https://www.fu-berlin.de/en/studium/studieninteressierte/bewerben/index.html,https://www.fu-berlin.de,https://www.fu-berlin.de/sites/studium/images/campus-aerial.jpg,https://www.fu-berlin.de/sites/studium/images/library-philological.jpg,https://www.fu-berlin.de/sites/studium/images/henry-ford-building.jpg,https://www.fu-berlin.de/sites/default/files/fu-berlin-logo.png,"Near-zero tuition; many programs in German; PG English programs growing; strong social sciences and humanities"
University of Groningen,Netherlands,Groningen,156,Public,€2314/year (EU); €16000–€22000/year (non-EU Int'l),€50,"6.5 (most programs)","90+ iBT",,3.0+,Jan–April (PG); Feb–May (UG Int'l),"Arts, Behavioural & Social Sciences, Computer Science, Economics & Business, Energy & Sustainability, Law, Medicine, Natural Sciences, Philosophy, Spatial Sciences, Theology",Yes,"University of Groningen Scholarship Programme (UGSP); Holland Scholarship; Excellence Scholarship; Erasmus+ grants",Fall (Sep),https://www.rug.nl/education/bachelor-programmes/admission-and-application/,https://www.rug.nl,https://www.rug.nl/about-ug/profile/campus/img/campus-aerial.jpg,https://www.rug.nl/about-ug/profile/campus/img/university-library.jpg,https://www.rug.nl/about-ug/profile/campus/img/academy-building.jpg,https://www.rug.nl/about-ug/profile/campus/img/rug-logo.png,"One of Netherlands' oldest universities (est. 1614); many programs in English; strong energy and sustainability research"
University of Geneva,Switzerland,Geneva,131,Public,CHF 500/semester (~CHF 1000/year; same for all students),CHF 200 (PG),"6.5–7.0 (English programs)","89+ iBT",,3.0+,February–April (UG); Oct–Feb (PG),"Arts & Humanities, Biology, Chemistry, Computer Science, Economics, Education, Environment, International Relations, Law, Mathematics, Medicine, Physics, Social Sciences",Yes,"Swiss Government Excellence Scholarship; UNIGE Bursaries; Erasmus+ grants; Solidarity Fund for students in need",Fall (Sep); Spring (Feb),https://www.unige.ch/en/studies/admissions/,https://www.unige.ch,https://www.unige.ch/sites/default/files/campus-palais.jpg,https://www.unige.ch/sites/default/files/library-uni-mail.jpg,https://www.unige.ch/sites/default/files/bastions-park.jpg,https://www.unige.ch/sites/default/files/unige-logo.png,"Near-zero tuition for all; near UN Geneva; strong international relations programs; bilingual (FR/EN)"
Wageningen University & Research,Netherlands,Wageningen,163,Public,€2314/year (EU); €18000–€22000/year (non-EU Int'l),€75,"6.5–7.0","90+ iBT",,3.0+,Jan–April (PG); Feb–April (UG Int'l),"Agricultural Sciences, Animal Sciences, Bioinformatics, Biology, Climate Studies, Environmental Sciences, Food Technology, Forestry, International Development, Plant Sciences, Soil Sciences",Yes,"Wageningen University Scholarship; Holland Scholarship; WUR graduate fellowships; Erasmus+ grants",Fall (Sep),https://www.wur.nl/en/education-programmes/studying-at-wur/admission.htm,https://www.wur.nl,https://www.wur.nl/upload_mm/campus-aerial.jpg,https://www.wur.nl/upload_mm/forum-building.jpg,https://www.wur.nl/upload_mm/leeuwenborch.jpg,https://www.wur.nl/upload_mm/wur-logo.png,"World's top agricultural and life sciences university; most PG in English; strong sustainability research"
Stockholm University,Sweden,Stockholm,171,Public,SEK 0 (EU/EEA); SEK 75000–160000/year (~USD 7000–15000/year) for non-EU,SEK 900 (non-EU),"6.5–7.0","90–100 iBT",,3.0+,January 15 (UG Int'l); Oct–Jan (PG),"Archaeology, Astrophysics, Baltic Sea Studies, Chemistry, Computer Science, Earth Sciences, Economics, Education, Human Geography, Humanities, Law, Mathematics, Natural Sciences, Physics, Social Sciences",Yes,"Swedish Institute Scholarship; Stockholm University Scholarships; SciLifeLab Fellowship; Erasmus+ grants",Fall (Sep),https://www.su.se/english/education/how-to-apply,https://www.su.se,https://www.su.se/english/image/campus.jpg,https://www.su.se/english/image/main-library.jpg,https://www.su.se/english/image/frescati-campus.jpg,https://www.su.se/english/image/su-logo.png,"Free tuition EU students; most PG in English; strong natural and social sciences; near the Baltic Sea"
Pontificia Universidad Católica de Chile,Chile,Santiago,93,Private,CLP 1500000–3500000/semester (~USD 6000–14000/year),CLP 30000–50000,"6.0+","79+ iBT",,3.0+,November–December (UG); rolling (PG),"Architecture, Arts, Business Administration, Chemistry, Computer Science, Economics, Education, Engineering, Environmental Science, Law, Medicine, Philosophy, Social Sciences, Theology",Yes,"Beca UC (merit & need-based); CONICET Scholarships; government BECAS CHILE; international exchange grants",Semester 1 (Mar); Semester 2 (Aug),https://admision.uc.cl,https://www.uc.cl,https://www.uc.cl/sites/default/files/campus-san-joaquin-aerial.jpg,https://www.uc.cl/sites/default/files/casa-central.jpg,https://www.uc.cl/sites/default/files/campus-main.jpg,https://www.uc.cl/sites/default/files/uc-logo.png,"Top Latin American university; most UG in Spanish; English-medium PG programs available; strong architecture and theology"
University of Buenos Aires (UBA),Argentina,Buenos Aires,71,Public,ARS 0 (free for all students; including international),None,"6.0 (English programs)","79+ iBT",,3.0+,March–April (UG); varies (PG),"Agriculture, Architecture, Dentistry, Economics, Education, Engineering, Exact Sciences, Law, Medicine, Natural Sciences, Pharmacy, Philosophy, Psychology, Social Sciences, Veterinary Sciences",Yes,"UBA Scholarship; CONICET Doctoral Fellowships; Erasmus+ grants; Becas Santander",Semester 1 (Mar); Semester 2 (Aug),https://www.uba.ar/internacionales/contenidos.php?id=3,https://www.uba.ar,https://www.uba.ar/archivos_noticias/6/uba-campus.jpg,https://www.uba.ar/archivos_noticias/6/uba-library.jpg,https://www.uba.ar/archivos_noticias/6/uba-main-building.jpg,https://www.uba.ar/archivos_noticias/6/uba-logo.png,"Completely free university; largest university in Latin America; mainly in Spanish; excellent for Medicine and Law"
